,Sample,cells,copies,yields
1,100%_r1,2343400,634639.7762,20.3
2,100%_r2,2205200,658332.3214,19.7
3,100%_r3,2218800,449522.096,19.5
4,80%_r1,1795000,415334.363,19.5
5,80%_r2,1819000,424493.0128,13.3
6,80%_r3,1804800,554336.8716,19
7,60%_r1,1322400,336951.7414,14.6
8,60%_r2,1339000,346756.1321,14.5
9,60%_r3,1362800,424620.9856,14.8
10,40%_r1,907000,237032.8711,11.8
11,40%_r2,869400,304945.7817,13.2
12,40%_r3,893600,281454.7106,9.8
13,20%_r1,447400,138468.044,6.86
14,20%_r2,447000,192929.7726,6.81
15,20%_r3,435000,155684.8616,7.85
16,0%_r1,600,3219.921384,0.674
17,0%_r2,400,3934.249042,0.102
18,0%_r3,1000,4209.57529,1.17
